en,fr
I am the chief of this village,Je suis le chef de ce village
people in the village are feeling sick.,Tous les villageois sont malades !
Help us find a cure.When you find it bring it to me!,Aides-nous à trouver un remède. Amène le moi quand tu l'as trouvé!
The castle may know somthing about it.,Je suis sûr qu'ils savent quelque chose au château
I'm the guard of the castle.,Je suis le garde de ce château
Only the royal family can get in.,Seule la famille royale peut entrer
Hi I am Bilbo the blacksmith of this village,Coucou je suis Bilbo le forgeron de ce village
There are a lot of monsters in the forest so you might do with a sword or two,Il y a plein de monstres dans ces bois. Tu ferais mieux de prendre une épée avec toi
Would you like a sword? It costs 7 coins.,Tu veux une épée ? Ça coûte 7 sous
Have you ever dreamed of making a sword?,Tu as déjà rêvé de fabriquer une épée ?
She might know how to get you into the castle,Elle sait peut-être comment rentrer dans le château
"Mountains are not far away, just keep walking East","Les montagnes ne sont pas loin. Continue de marcher vers l'Est, et tu les trouvras"
"If you want to enter the castle, you need to fly over the walls"
I think...
...the aeronaut...
He lives at the Lonely Village and sells hot air balloons
He might be able to help you.
The road to Lonely village is dangerous. Lots of monsters!
Do you maybe want to ride my snowcat? She is faster than the monsters!
"For 2 coins, I can heal 5 health points."
You are full of energy! I can not do anything for you right now.
"Fine, but be careful with the monsters!\nAnd come back if you are wounded: I can heal you!"
I have healed your wounds
"You do not have enough gold, unfortunately. Come back later!"


Attack!,Attaque!
Yes,Oui
No,Non
Continue,Suite
Go away!,Va t'en!
I like soot,"Moi, j'aime la suie"
Heya,Salut!
I'm Hagrid,Je m'appelle Hagrid
I have a friend in the mountain,J'ai une amie dans la montagne
She might know... umph,P'tre que... euuuuh
Maybe?,P'tre ?
I am the sorceress,Je suis la sorcière


















